borough,Hispanic/Latino (of any race),White non-Hispanic,Black non-Hispanic,Asian non-Hispanic
New York City,"2,490,350","2,719,856","1,776,891","1,373,502"
Manhattan,"402,640","793,294","199,592","219,624"
Bronx,"806,463","130,796","419,393","67,766"
Brooklyn,"516,426","968,427","729,696","370,776"
Queens,"667,861","549,358","381,375","656,583"
Staten Island,"96,960","277,981","46,835","58,753"
