year,Brooklyn,Bronx,Manhattan,Queens,Staten Island
2000,21.80%,14.60%,49.40%,24.30%,23.20%
2006,27.90%,16.40%,55.20%,27.80%,26.80%
2010,28.60%,16.90%,58.10%,29.40%,30.70%
2019,39.20%,20.40%,62.00%,33.20%,36.20%
