year,Brooklyn,Bronx,Manhattan,Queens,Staten Island
2000,10.74%,14.32%,8.44%,7.73%,5.89%
2006,7.38%,11.76%,6.75%,7.50%,5.36%
2010,10.86%,15.76%,9.16%,11.10%,9.06%
2019,4.54%,9.07%,4.23%,4.62%,3.99%
