Year,Brooklyn,Bronx,Manhattan,Queens,Staten Island
2000,"$53,070 ","$45,600 ","$77,670 ","$70,090 ","$90,890 "
2006,"$53,500 ","$41,710 ","$79,490 ","$67,800 ","$90,880 "
2010,"$51,140 ","$39,520 ","$77,460 ","$64,380 ","$85,630 "
2019,"$70,340 ","$43,540 ","$98,410 ","$77,440 ","$94,390 "
